species_code,family,species_albatross_name,species_valid_name
Abu,Ambassidae,Ambassis_buruensis,Ambassis_buruensis
Adu,Atherinidae,Doboatherina_duodecimalis,Doboatherina_duodecimalis
Adu,Atherinidae,NA,Hypoatherina_sp
Adu,Atherinidae,NA,Doboatherina_duodecimalis/Atherinomorus_endrachtensis
Aen,Atherinidae,Atherinomorus_endrachtensis,Atherinomorus_endrachtensis
Agy,Ambassidae,Ambassis_gymnocephalus,Ambassis_gymnocephalus
Ain,Ambassidae,Ambassis_interrupta,Ambassis_interrupta
Ako,Ambassidae,Ambassis_kopsii,Ambassis_kopsii
Ama,Ambassidae,Ambassis_vaivasensis,Ambassis_macracanthus
Aur,Ambassidae,Ambassis_urotaenia,Ambassis_urotaenia
Cco,Tetraodontidae,Canthigaster_compressa,Canthigaster_compressa
Cha,Syngnathidae,NA,Corythoichthys_haematopterus
Cse,Mugilidae,Moolgarda_seheli,Crenimugil_seheli
Cvi,Pomacentridae,Chromis_viridis,Chromis_viridis
Dar,Pomacentridae,NA,Dascyllus_aruanus
Dba,Caesionidae,Dipterygonotus_balteatus,Dipterygonotus_balteatus
Eps,Engraulidae,Encrasicholina_pseudoheteroloba,Encrasicholina_pseudoheteroloba
Epu,Engraulidae,Encrasicholina_punctifer,Encrasicholina_punctifer
Fth,Apogonidae,Ostorhinchus_thermalis,Fibramia_thermalis
Ggi,Gobiidae,Glossogobius_giuris,Glossogobius_giuris
Gma,Gerreidae,Gerres_macracanthus,Gerres_macracanthus
Gmi,Leiognathidae,Gazza_minuta,Gazza_minuta
Gop,Gobiidae,Gnatholepis_ophthalmotaenia,Gnatholepis_ophthalmotaenia
Goy,Gerreidae,Gerres_oyena,Gerres_oyena
Hmi,Labridae,Halichoeres_miniatus,Halichoeres_miniatus
Hpa,Atherinidae,NA,Hypoatherina_panatela
Hqu,Clupeidae,Herklotsichthys_quadrimaculatus,Herklotsichthys_quadrimaculatus
Hte,Atherinidae,Hypoatherina_temminckii,Hypoatherina_temminckii
Leq,Leiognathidae,Leiognathus_equula,Leiognathus_equula
Lle,Leiognathidae,Leiognathus_leuciscus,Equulites_leuciscus
Lva,Lethrinidae,NA,Lethrinus_variegatus
Obr,Apogonidae,Ostorhinchus_bryx,Ostorhinchus_bryx
Och,Apogonidae,Ostorhinchus_chrysopomus,Ostorhinchus_chrysopomus
Ofa,Apogonidae,Ostorhinchus fasciatus,Ostorhinchus fasciatus
Oje,Apogonidae,Ostorhinchus jenkinsi,Ostorhinchus jenkinsi
Oni,Apogonidae,Ostorhinchus_nigrocincta,Ostorhinchus_nigrocincta
Opa,Apogonidae,Ostorhinchus parvulus,Ostorhinchus parvulus
Par,Gobiidae,Periophthalmus_argentilineatus,Periophthalmus_argentilineatus
Pba,Mullidae,NA,Parupeneus_barberinus
Pbr,Pomacentridae,Pomacentrus_brachialis,Pomacentrus_brachialis
Pli,Plotosidae,Plotosus_lineatus,Plotosus_lineatus
Ppa,Pomacentridae,NA,Pomacentrus_pavo
Ppi,Caesionidae,Pterocaesio_pisang,Pterocaesio_pisang
Psq,Serranidae,Pseudanthias_squamipinnis,Pseudanthias_squamipinnis
Sde,Clupeidae,Spratelloides_delicatulus,Spratelloides_delicatulus
Sel,Apogonidae,Siphamia_elongata,Siphamia_elongata
Sfa,Blenniidae,Salarias_fasciatus,Salarias_fasciatus
Sfu,Siganidae,Siganus_fuscescens,Siganus_fuscescens/Siganus_canaliculatus
Sgr,Clupeidae,Spratelloides_gracilis,Spratelloides_gracilis
Sin,Labridae,NA,Stethojulis_interrupta
Sle,Clupeidae,Sardinella_lemuru,Sardinella_lemuru
Sne,Apogonidae,Sphyraemia_nematoptera,Sphaeramia_nematoptera
Sob,Sphyraenidae,Sphyraena_obtusata,Sphyraena_obtusata
Sor,Apogonidae,Sphyraemia_orbicularis,Sphaeramia_orbicularis
Ssp,Siganidae,Siganus_spinus,Siganus_spinus
Stu,Apogonidae,Siphamia_cuprea,Siphamia_tubifer
Tbi,Apogonidae,Archamia_biguttata,Taeniamia_biguttata
Tcr,Belonidae,NA,Tylosurus_crocodilus
Tfu,Apogonidae,Archamia_zosterophora,Taeniamia_fucata
Tka,Apogonidae,Taeniamia_kagoshimanus,Taeniamia_kagoshimanus
Tzo,Apogonidae,Archamia_zosterophora,Taeniamia_zosterophora
Zdi,Zenarchopteridae,NA,Zerchopterus_dispar
Zfr,Apogonidae,Zoramia_fragilis,Zoramia_fragilis
Zgi,Apogonidae,Zoramia_gilberti,Zoramia_gilberti
Zpr,Apogonidae,NA,Zoramia_perlita
Zvi,Apogonidae,Zoramia_viridiventer,Zoramia_viridiventer
